Input,Filtered
303.0,-467.857
278.0,-394.952
360.0,-322.429
360.0,-253.81
330.0,-186.619
330.0,-122.714
288.0,-60.81
252.0,-6.476
252.0,38.429
-893.0,28.81
-790.0,18.19
-672.0,13.19
-672.0,4.238
-527.0,-4.476
-527.0,-13.19
-306.0,-25.095
-45.0,-24.571
-45.0,-36.333
88.0,-47.81
88.0,-59.286
159.0,-66.143
210.0,-70.571
210.0,-73.81
287.0,-77.286
287.0,-80.762
366.0,-79.048
346.0,-78.286
346.0,-75.524
326.0,-72.0
326.0,-68.476
286.0,-12.333
153.0,32.571
153.0,71.857
-28.0,102.524
-28.0,126.286
-158.0,143.857
-556.0,131.952
-556.0,107.619
-1054.0,59.571
-1054.0,5.19
-1362.0,-63.857
-29.0,-72.809
-29.0,-84.19
91.0,-89.857
173.0,-95.286
173.0,-100.714
271.0,-105.238
271.0,-108.81
409.0,-105.81
374.0,-103.524
374.0,-101.238
281.0,-101.476
281.0,-95.381
308.0,-88.0
222.0,-76.095
222.0,-64.19
-184.0,-65.429
-184.0,-47.714
-775.0,-58.143
-1129.0,-61.714
-1129.0,-65.286
-1288.0,-61.762
-1288.0,-121.714
-1479.0,-190.762
-1457.0,-264.476
-1457.0,-342.095
-1235.0,-409.143
-1235.0,-480.857
-967.0,-539.81
-698.0,-592.524
-698.0,-643.571
-421.0,-681.429
-421.0,-714.857
-76.0,-731.857
-76.0,-750.143
-467.0,-782.952
-467.0,-815.762
-1047.0,-856.857
-1342.0,-912.0
-1342.0,-939.0
-1325.0,-948.333
-1325.0,-957.667
-1123.0,-949.809
-948.0,-933.619
-948.0,-908.333
-933.0,-883.381
-933.0,-858.429
-807.0,-838.048
-506.0,-803.333
-506.0,-781.381
-166.0,-756.048
-166.0,-730.714
100.0,-705.905
233.0,-674.762
233.0,-660.048
239.0,-645.048
239.0,-611.429
203.0,-579.524
122.0,-523.857
122.0,-454.143
38.0,-388.429
38.0,-323.524
5.0,-260.191
5.0,-206.476
-296.0,-175.429
166.0,-122.381
188.0,-69.0
188.0,-15.619
91.0,27.143
44.0,53.333
44.0,79.524
-105.0,82.429
-105.0,85.333
-754.0,44.667
-1440.0,-35.0
-1440.0,-114.667
-1265.0,-186.286
-1265.0,-257.905
-884.0,-309.667
-696.0,-348.619
-696.0,-387.571
-525.0,-414.381
-525.0,-441.19
-336.0,-457.429
-164.0,-465.476
-164.0,-459.19
30.0,-465.667
30.0,-473.19
212.0,-472.048
315.0,-461.381
315.0,-448.476
263.0,-438.048
263.0,-420.524
126.0,-409.524
-432.0,-394.19
-432.0,-346.19
-1574.0,-352.571
472.0,-269.857
472.0,-187.143
522.0,-120.19
387.0,-68.619
387.0,-17.048
396.0,26.81
396.0,70.667
-111.0,81.381
-1680.0,9.19
-1680.0,-63.0
-1998.0,-159.571
-1998.0,-256.143
-1718.0,-348.048
-1207.0,-420.524
-1207.0,-493.0
-862.0,-546.571
-862.0,-600.143
-563.0,-632.952
-244.0,-624.0
-244.0,-615.048
62.0,-537.143
62.0,-556.667
325.0,-563.667
564.0,-561.667
564.0,-553.238
585.0,-543.81
585.0,-534.81
465.0,-531.524
308.0,-511.571
308.0,-416.905
237.0,-325.619
237.0,-219.19
326.0,-108.524
589.0,1.333
665.0,90.476
665.0,179.619
422.0,240.762
422.0,301.905
384.0,347.0
183.0,367.333
183.0,387.667
-1088.0,332.905
-1088.0,278.143
-1991.0,167.857
-1643.0,62.762
-1643.0,-42.333
-1147.0,-124.81
-1147.0,-207.286
-915.0,-273.0
-720.0,-321.952
-720.0,-370.905
-444.0,-403.333
-444.0,-435.762
-118.0,-456.905
161.0,-477.286
161.0,-501.286
434.0,-512.286
434.0,-511.714
575.0,-504.429
505.0,-498.667
505.0,-483.333
379.0,-474.0
379.0,-404.143
234.0,-341.191
62.0,-243.429
373.0,-147.429
373.0,-51.429
528.0,28.333
528.0,108.095
624.0,181.381
449.0,237.048
449.0,292.714
496.0,337.476
496.0,382.238
128.0,393.952
-1283.0,325.19
-1283.0,256.429
-1905.0,145.048
-1905.0,33.667
-1306.0,-55.905
-1044.0,-129.667
-1044.0,-203.429
-1010.0,-269.571
-1010.0,-335.714
-600.0,-375.429
-226.0,-389.143
-226.0,-417.667
31.0,-433.952
31.0,-457.619
388.0,-464.286
693.0,-461.0
693.0,-449.381
760.0,-434.571
760.0,-422.0
587.0,-417.667
429.0,-403.333
194.0,-333.0
194.0,-262.667
636.0,-141.667
636.0,-20.667
774.0,78.381
647.0,158.905
647.0,239.429
491.0,310.905
491.0,382.381
296.0,425.048
-1054.0,385.619
-1054.0,346.19
-1984.0,250.238
-1984.0,154.286
